YGL163C	RAD54	G1(P)	30
YPL127C	HHO1	S	58
YMR144W		G1/S	44
YLR386W	VAC14	G1/S	46
YML133C		G1(P)	38
YOR084W		M	154
YDL105W	QRI2	G2	122
YDR297W	SUR2	G1(P)	12
YNL225C	CNM67	G1/S	49
YHR023W	MYO1	M	146
YDR488C	PAC11	G2/M	134
YLR462W		G1(P)	38
YJL051W		G2	128
YHR159W		G2/M	133
YDR501W	PLM2	G1(P)	38
YGR041W	BUD9	M	176
YAR003W	SWD1	G1/S	40
YBL112C		G1/S	40
YNL290W	RFC3	G1(P)	24
YOR373W	NUD1	G1/S	44
YLR131C	ACE2	G2/M	144
YCL022C		G1(P)	30
YBR276C	PPS1	G2	124
YAR018C	KIN3	M	162
YKR010C	TOF2	S	83
YHR188C	GPI16	G2/M	134
YER003C	PMI40	S	56
YGL116W	CDC20	M	149
YOL034W	SMC5	S	57
YLR376C		S	57
YGR108W	CLB1	S	89
YML109W	ZDS2	G1/S	43
YDR146C	SWI5	G2/M	132
YOR073W	SGO1	S	68
YPL015C	HST2	G2/M	134
YNL126W	SPC98	S	70
YFR046C		G1/S	54
YPL007C	TFC8	S	57
YNL077W	APJ1	G1	226
YDR307W		G1/S	50
YOR017W	PET127	G1(P)	36
YLR045C	STU2	S	78
YOR025W	HST3	M	172
YNR009W		S	68
YKL067W	YNK1	G1/S	49
YAL023C	PMT2	G1(P)	24
YKR077W		G1(P)	38
YBL009W		S	72
YBL002W	HTB2	S	72
YIL158W		G2/M	131
YBR202W	CDC47	G1(P)	24
YNR061C		G1	208
YJR092W	BUD4	G2	122
YJL091C	GWT1	G1/S	51
YLR234W	TOP3	G1	280
YGR015C		G2/M	140
YIR008C	PRI1	G1/S	54
YIL106W	MOB1	G2/M	142
YDR224C	HTB1	S	60
YDR481C	PHO8	M	148
YOL149W	DCP1	M/G1	182
YOL006C	TOP1	M	180
YNL058C		G2/M	136
YPL242C	IQG1	M	148
YHR172W	SPC97	S	62
YGL200C	EMP24	G1/S	42
YHR050W	SMF2	G2	123
YGR014W	MSB2	S	56
YBR245C	ISW1	G1(P)	28
YBL003C	HTA2	S	59
YGR188C	BUB1	S	68
YAL007C	ERP2	G1/S	40
YHR158C	KEL1	S	56
YGL094C	PAN2	S	62
YEL064C	AVT2	G1/S	48
YBL034C	STU1	G1/S	42
YOL070C		M	161
YGL021W	ALK1	G2	130
YBR138C		G2/M	143
YNL030W	HHF2	S	63
YML034W	SRC1	G1	268
YLR463C		G2/M	134
YLR182W	SWI6	M	146
YPL141C		G1(P)	2
