Gene name,ORF name,cer Ace2,par Ace2,Hyc Ace2,Hyp Ace2,cer Swi5,par Swi5,Hyc Swi5,Hyp Swi5,cer Fkh1,par Fkh1,Hyc Fkh1,Hyp Fkh1,cer Fkh2,par Fkh2,Hyc Fkh2,Hyp Fkh2
OSW2,YLR054C,176.8083535,269.5669865,224.8286786,229.204322,488.9664142,179.3054981,392.6630987,205.6253812,172.3387855,137.2774218,74.18427644,128.7493156,156.1811927,205.0458041,78.64894822,112.1512164
SPT8,YLR055C,1247.736393,1505.283031,1363.615038,1439.820492,925.5874472,549.8231139,773.7640255,1155.905889,450.2719071,1005.08174,404.6415079,487.8921433,1000.045639,1592.791238,1146.377895,1626.069731
ERG3,YLR056W,1240.829436,1301.344217,1328.276414,1225.997619,852.1070884,403.4906572,697.8442213,945.0558693,437.9110598,962.1452147,377.6654073,420.1293456,1016.64308,1500.313609,1142.325721,1593.284061
MNL2,YLR057W,256.9778961,337.3399123,290.0760734,265.724775,516.6847316,139.8584563,421.5666475,291.493185,271.8900214,291.6099934,141.6245277,155.8544347,671.1681582,444.3009737,542.0016742,438.3999643
SHM2,YLR058C,746.0414244,964.7435634,1039.613618,1963.395224,625.125704,922.3405712,556.6220751,719.6796255,527.7529697,654.674676,687.8905634,697.9568161,1608.70543,816.0379184,2258.499276,3045.771316
REX2,YLR059C,212.3745206,275.0174273,250.092724,301.1356244,506.0478664,224.7881984,393.0803021,315.5341039,284.3112465,228.4240483,283.2490555,169.4069942,328.661699,292.0775844,302.5036703,479.163329
FRS1,YLR060W,210.2222635,280.7302001,239.8259928,339.7706854,552.358442,190.1322489,289.7211747,286.8022573,324.3837971,271.360574,296.7371058,182.9595537,357.2013931,316.4854148,303.195134,431.9568875
RPL22A,YLR061W,239.5278108,441.7311194,322.6501983,363.3859523,514.8282136,452.5756339,286.1429924,379.1130596,439.5682099,445.663824,364.1773571,223.6172324,477.708992,505.816387,266.1778584,310.6070969
BUD28,YLR062C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
BMT6,YLR063W,171.9268621,262.0280796,171.2864898,303.9141068,384.3339467,203.4096445,278.097344,210.9089965,261.4606296,154.3325716,202.3207539,149.0781549,341.1174288,232.0012656,148.318015,130.2781288
PER33,YLR064W,149.5927287,210.8744208,178.0985533,191.4614633,407.2295793,217.9303033,163.2790145,171.4511283,267.2253147,208.8117512,134.8805026,74.53907745,242.7045787,212.4750013,77.12140479,128.1701937
SND2,YLR065C,161.5833286,275.4999669,263.8832154,270.7564737,448.076372,135.9540087,329.7996054,280.4806302,239.3978088,194.3535688,87.6723267,115.1967561,192.7374301,253.6477691,243.1434475,268.0171
SPC3,YLR066W,163.8145955,271.2302361,285.5090829,373.3944853,430.7861054,503.873545,427.0711112,351.3096481,222.7417599,180.2139475,141.6245277,135.5255954,208.1962575,189.2925694,250.0303727,229.1426173
PET309,YLR067C,210.3145487,221.6931258,309.844365,283.4236417,455.9231683,145.5547591,327.4391171,289.1084969,319.2877409,220.1154842,209.0647791,74.53907745,261.0905392,270.06212,172.6056692,172.1342849
FYV7,YLR068W,200.9352211,196.919994,286.5989665,263.7708949,428.3824344,177.9433271,397.5218595,331.2498635,300.2027293,222.8717322,263.0169801,108.4204763,283.8633115,311.1764568,209.9253785,200.6967759
MEF1,YLR069C,215.3840641,282.3021196,270.167961,304.3565246,454.0797978,436.7658171,306.2819187,340.1202134,313.7209998,226.384563,323.7132063,311.7088693,312.9918357,286.7101953,210.03054,264.5395716
XYL2,YLR070C,175.7801637,176.2933281,219.7741248,209.4419329,410.2992801,49.69797685,275.1394175,219.3670254,184.1749895,91.74392873,182.0886785,108.4204763,162.8114816,221.0327631,64.34913945,117.8604525
RGR1,YLR071C,1017.098682,434.8787249,1250.014201,422.901002,701.7671866,644.6086852,971.4926903,387.4861121,314.5531982,294.5653422,263.0169801,291.38003,365.53341,360.3811069,232.0456659,256.0793392
LAM6,YLR072W,1020.919396,400.913626,1190.261536,403.0498537,675.0177925,542.8537182,827.2855335,322.686585,313.4240798,268.8830671,188.8327037,216.8409526,379.2405763,364.4846946,232.8849351,188.7682029
RFU1,YLR073C,250.9204459,434.1430068,318.1629765,360.6249271,561.2737525,428.3811589,502.9962888,780.3254982,317.8713646,702.685676,256.272955,338.8139884,433.5845908,643.1613538,206.8824777,504.7422674
BUD20,YLR074C,786.0073062,498.1160474,598.981481,523.3962481,768.1734401,564.7276674,919.8623993,717.8695801,605.4644889,814.360463,391.1534576,393.0242266,1310.497996,861.9954185,496.6456492,565.9739643
RPL10,YLR075W,778.213379,584.6743063,631.9568013,499.1246473,825.7299723,756.1403638,891.4071224,1014.029584,588.0696415,783.0064113,323.7132063,345.5902682,1302.238793,836.3037584,472.0478737,546.1046334
YLR076C,YLR076C,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
FMP25,YLR077W,570.960433,250.3447788,532.1517034,248.8793897,530.300869,319.1825203,689.6192428,255.2993257,270.9958729,265.8082579,161.8566031,108.4204763,245.5356246,258.2956109,116.0661313,187.792061
