Q0045	COX1	viable	null
R0010W	FLP1	viable	null
YAL001C	TFC3	inviable	null
YAL001C	TFC3	inviable	null
YAL002W	VPS8	viable	null
YAL003W	EFB1	inviable	null
YAL003W	EFB1	inviable	null
YAL004W	""	viable	null
YAL005C	SSA1	viable	null
YAL007C	ERP2	viable	null
YAL008W	FUN14	viable	null
YAL009W	SPO7	viable	null
YAL010C	MDM10	viable	null
YAL011W	SWC3	viable	null
YAL012W	CYS3	inviable	null
YAL012W	CYS3	viable	null
YAL012W	CYS3	viable	null
YAL012W	CYS3	viable	null
YAL013W	DEP1	viable	null
YAL014C	SYN8	viable	null
YAL015C	NTG1	viable	null
YAL015C	NTG1	viable	null
YAL016C-B	""	viable	null
YAL016W	TPD3	viable	null
YAL017W	PSK1	viable	null
YAL017W	PSK1	viable	null
YAL018C	LDS1	viable	null
YAL018C	LDS1	viable	null
YAL019W	FUN30	viable	null
YAL019W	FUN30	viable	null
YAL019W	FUN30	viable	null
YAL020C	ATS1	viable	null
YAL020C	ATS1	viable	null
YAL021C	CCR4	viable	null
YAL021C	CCR4	viable	null
YAL021C	CCR4	viable	null
YAL022C	FUN26	viable	null
YAL022C	FUN26	viable	null
YAL023C	PMT2	viable	null
YAL023C	PMT2	viable	null
YAL024C	LTE1	viable	null
YAL025C	MAK16	inviable	null
YAL026C	DRS2	viable	null
YAL026C	DRS2	viable	null
YAL027W	SAW1	viable	null
YAL028W	FRT2	viable	null
YAL028W	FRT2	viable	null
YAL029C	MYO4	viable	null
YAL029C	MYO4	viable	null
YAL030W	SNC1	viable	null
YAL031C	GIP4	viable	null
YAL031C	GIP4	viable	null
YAL032C	PRP45	inviable	null
YAL032C	PRP45	inviable	null
YAL033W	POP5	inviable	null
YAL033W	POP5	inviable	null
YAL033W	POP5	inviable	null
YAL034C	FUN19	viable	null
YAL034C	FUN19	viable	null
YAL034C-B	""	inviable	null
YAL034W-A	MTW1	inviable	null
YAL035W	FUN12	inviable	null
YAL035W	FUN12	inviable	null
YAL035W	FUN12	viable	null
YAL035W	FUN12	viable	null
YAL036C	RBG1	viable	null
YAL036C	RBG1	viable	null
YAL037C-A	""	viable	null
YAL037W	""	viable	null
YAL038W	CDC19	inviable	null
YAL039C	CYC3	viable	null
YAL040C	CLN3	viable	null
YAL040C	CLN3	viable	null
YAL041W	CDC24	inviable	null
YAL042C-A	""	viable	null
YAL042W	ERV46	viable	null
YAL043C	PTA1	inviable	null
YAL043C	PTA1	inviable	null
YAL044C	GCV3	viable	null
YAL045C	""	viable	null
YAL046C	BOL3	viable	null
YAL047C	SPC72	viable	null
YAL048C	GEM1	viable	null
YAL049C	AIM2	viable	null
YAL051W	OAF1	viable	null
YAL053W	FLC2	viable	null
YAL053W	FLC2	viable	null
YAL054C	ACS1	viable	null
YAL055W	PEX22	viable	null
YAL055W	PEX22	viable	null
YAL056C-A	""	viable	null
YAL056W	GPB2	viable	null
YAL058W	CNE1	viable	null
YAL059W	ECM1	viable	null
YAL060W	BDH1	viable	null
YAL060W	BDH1	viable	null
YAL061W	BDH2	viable	null
YAL061W	BDH2	viable	null
YAL062W	GDH3	viable	null
YAL064C-A	TDA8	viable	null
YAL065C	""	viable	null
YAL066W	""	viable	null
YAL067C	SEO1	viable	null
YAL067W-A	""	viable	null
YAL068C	PAU8	viable	null
YAR002C-A	ERP1	viable	null
YAR002W	NUP60	viable	null
YAR002W	NUP60	viable	null
YAR003W	SWD1	viable	null
YAR003W	SWD1	viable	null
YAR007C	RFA1	inviable	null
YAR008W	SEN34	inviable	null
YAR008W	SEN34	inviable	null
YAR014C	BUD14	viable	null
YAR015W	ADE1	viable	null
YAR018C	KIN3	viable	null
YAR019C	CDC15	inviable	null
YAR020C	PAU7	viable	null
YAR023C	""	viable	null
YAR027W	UIP3	viable	null
YAR028W	""	viable	null
YAR029W	""	viable	null
YAR030C	""	viable	null
YAR031W	PRM9	viable	null
YAR035C-A	""	viable	null
YAR035W	YAT1	viable	null
YAR042W	SWH1	viable	null
YAR042W	SWH1	viable	null
YAR042W	SWH1	viable	null
YAR047C	""	viable	null
YAR050W	FLO1	viable	null
YAR073W	IMD1	viable	null
YBL001C	ECM15	viable	null
YBL002W	HTB2	viable	null
YBL002W	HTB2	viable	null
YBL003C	HTA2	viable	null
YBL004W	UTP20	inviable	null
YBL005W	PDR3	viable	null
YBL006C	LDB7	viable	null
YBL007C	SLA1	viable	null
YBL008W	HIR1	viable	null
YBL008W-A	""	viable	null
YBL009W	ALK2	viable	null
YBL009W	ALK2	viable	null
YBL009W	ALK2	viable	null
YBL010C	""	viable	null
YBL010C	""	viable	null
YBL011W	SCT1	viable	null
YBL012C	""	viable	null
YBL013W	FMT1	viable	null
YBL013W	FMT1	viable	null
YBL014C	RRN6	inviable	null
YBL015W	ACH1	viable	null
YBL016W	FUS3	viable	null
YBL017C	PEP1	viable	null
YBL018C	POP8	inviable	null
YBL018C	POP8	inviable	null
YBL019W	APN2	viable	null
YBL019W	APN2	viable	null
YBL020W	RFT1	inviable	null
YBL021C	HAP3	viable	null
YBL022C	PIM1	viable	null
YBL022C	PIM1	viable	null
YBL022C	PIM1	viable	null
YBL023C	MCM2	inviable	null
YBL024W	NCL1	viable	null
YBL025W	RRN10	viable	null
YBL026W	LSM2	inviable	null
YBL026W	LSM2	inviable	null
YBL027W	RPL19B	viable	null
YBL028C	""	viable	null
YBL029C-A	""	viable	null
YBL029W	""	viable	null
YBL030C	PET9	inviable	null
YBL030C	PET9	viable	null
YBL031W	SHE1	viable	null
YBL032W	HEK2	viable	null
YBL033C	RIB1	viable	null
YBL034C	STU1	inviable	null
YBL035C	POL12	inviable	null
YBL035C	POL12	inviable	null
YBL036C	""	viable	null
YBL037W	APL3	viable	null
YBL038W	MRPL16	viable	null
YBL039C	URA7	viable	null
YBL039W-B	MIN6	viable	null
YBL040C	ERD2	inviable	null
YBL040C	ERD2	inviable	null
YBL041W	PRE7	inviable	null
YBL042C	FUI1	viable	null
YBL042C	FUI1	viable	null
YBL043W	ECM13	viable	null
YBL044W	""	viable	null
YBL045C	COR1	viable	null
YBL046W	PSY4	viable	null
YBL046W	PSY4	viable	null
YBL047C	EDE1	viable	null
YBL047C	EDE1	viable	null
YBL048W	RRT1	viable	null
YBL049W	MOH1	viable	null
YBL050W	SEC17	inviable	null
YBL050W	SEC17	inviable	null
YBL051C	PIN4	viable	null
YBL052C	SAS3	viable	null
YBL053W	""	viable	null
YBL054W	TOD6	viable	null
YBL055C	""	viable	null
YBL055C	""	viable	null
YBL056W	PTC3	viable	null
YBL057C	PTH2	viable	null
YBL058W	SHP1	inviable	null
YBL058W	SHP1	viable	null
YBL059W	IAI11	viable	null
YBL060W	YEL1	viable	null
YBL061C	SKT5	viable	null
YBL062W	""	viable	null
YBL063W	KIP1	viable	null
YBL064C	PRX1	viable	null
YBL065W	""	viable	null
YBL066C	SEF1	viable	null
YBL066C	SEF1	viable	null
YBL067C	UBP13	viable	null
YBL068W	PRS4	viable	null
YBL069W	AST1	viable	null
YBL069W	AST1	viable	null
YBL070C	""	viable	null
YBL071C	""	viable	null
YBL071C-B	""	viable	null
YBL071W-A	KTI11	viable	null
YBL072C	RPS8A	viable	null
YBL073W	""	inviable	null
YBL074C	AAR2	inviable	null
YBL075C	SSA3	viable	null
YBL075C	SSA3	viable	null
YBL076C	ILS1	inviable	null
YBL077W	""	inviable	null
YBL078C	ATG8	viable	null
YBL079W	NUP170	viable	null
YBL079W	NUP170	viable	null
YBL080C	PET112	viable	null
YBL080C	PET112	viable	null
YBL081W	""	viable	null
YBL082C	ALG3	viable	null
YBL083C	""	viable	null
YBL084C	CDC27	inviable	null
YBL085W	BOI1	viable	null
YBL086C	""	viable	null
YBL087C	RPL23A	viable	null
YBL088C	TEL1	viable	null
YBL089W	AVT5	viable	null
YBL090W	MRP21	viable	null
YBL091C	MAP2	viable	null
YBL091C-A	SCS22	viable	null
YBL092W	RPL32	inviable	null
YBL092W	RPL32	inviable	null
YBL093C	ROX3	viable	null
YBL094C	""	viable	null
YBL095W	MRX3	viable	null
YBL096C	""	viable	null
YBL097W	BRN1	inviable	null
YBL097W	BRN1	inviable	null
YBL097W	BRN1	inviable	null
YBL098W	BNA4	viable	null
YBL099W	ATP1	viable	null
YBL100C	""	viable	null
YBL100W-C	""	viable	null
YBL101C	ECM21	viable	null
YBL102W	SFT2	viable	null
YBL103C	RTG3	viable	null
YBL104C	SEA4	viable	null
YBL105C	PKC1	inviable	null
YBL105C	PKC1	inviable	null
YBL106C	SRO77	viable	null
YBL106C	SRO77	viable	null
YBL106C	SRO77	viable	null
YBL107C	MIX23	viable	null
YBR001C	NTH2	viable	null
YBR001C	NTH2	viable	null
YBR002C	RER2	inviable	null
YBR002C	RER2	viable	null
YBR003W	COQ1	viable	null
YBR004C	GPI18	inviable	null
YBR004C	GPI18	inviable	null
YBR005W	RCR1	viable	null
YBR005W	RCR1	viable	null
YBR007C	DSF2	viable	null
YBR008C	FLR1	viable	null
YBR009C	HHF1	viable	null
YBR010W	HHT1	viable	null
YBR011C	IPP1	inviable	null
YBR011C	IPP1	inviable	null
YBR012C	""	viable	null
YBR013C	""	viable	null
YBR014C	GRX7	viable	null
YBR015C	MNN2	viable	null
YBR016W	""	viable	null
YBR017C	KAP104	viable	null
YBR018C	GAL7	viable	null
YBR019C	GAL10	viable	null
YBR020W	GAL1	viable	null
YBR021W	FUR4	viable	null
YBR021W	FUR4	viable	null
YBR022W	POA1	viable	null
YBR023C	CHS3	viable	null
YBR024W	SCO2	viable	null
YBR025C	OLA1	viable	null
YBR026C	ETR1	viable	null
YBR027C	""	viable	null
YBR028C	YPK3	viable	null
YBR029C	CDS1	inviable	null
YBR030W	RKM3	viable	null
YBR031W	RPL4A	viable	null
YBR032W	""	viable	null
YBR033W	EDS1	viable	null
YBR033W	EDS1	viable	null
YBR034C	HMT1	viable	null
YBR035C	PDX3	viable	null
